Id,mssubclass,mszoning,lotfrontage,lotarea,street,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremod/add,roofstyle,exterior1st,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,1stflrsf,2ndflrsf,lowqualfinsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,garagetype,garagefinish,garagecars,garagearea,garagequal,garagecond,paveddrive,wooddecksf,openporchsf,enclosedporch,screenporch,mosold,yrsold,saleprice
109,60,RL,68.99824046920821,13517,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,BrkFace,289.0,4,3,CBlock,3,3,1,6,192.0,725.0,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,Attchd,RFn,2.0,475.0,3,3,Y,0,44,0,0,3,2010,130500
544,60,RL,43.0,11492,Pave,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,276.0,913.0,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,Attchd,RFn,2.0,559.0,3,3,Y,0,74,0,0,4,2009,220000
153,20,RL,68.0,7922,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,326.0,1057.0,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,Detchd,Unf,1.0,246.0,3,3,Y,0,52,0,0,1,2010,109000
318,60,RL,73.0,9802,Pave,Reg,Lvl,Inside,Gtl,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,None,0.0,3,3,PConc,4,3,1,1,384.0,384.0,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,BuiltIn,Fin,2.0,400.0,3,3,Y,100,0,0,0,4,2010,174000
255,50,RL,82.0,14235,Pave,IR1,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,None,0.0,3,3,PConc,2,4,1,1,676.0,676.0,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,Detchd,Unf,2.0,484.0,3,3,N,0,59,0,0,3,2010,138500
138,20,RL,137.0,16492,Pave,IR1,Lvl,Corner,Gtl,NAmes,PosA,1Fam,1Story,6,6,1966,2002,Gable,BrkFace,None,0.0,4,3,CBlock,3,3,1,5,557.0,1517.0,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,Attchd,Fin,2.0,578.0,3,3,Y,0,0,0,0,6,2010,190000
2827,180,RM,35.0,3675,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,0.0,547.0,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,Basment,Fin,2.0,525.0,3,3,Y,0,44,0,0,6,2006,140000
145,20,RL,68.99824046920821,12160,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,188.0,1188.0,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,Attchd,RFn,2.0,531.0,3,3,Y,0,0,0,0,5,2010,142000
1942,20,RL,68.99824046920821,15783,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1Story,5,5,1952,1952,Gable,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,632.0,924.0,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,Detchd,Unf,1.0,420.0,3,3,Y,0,324,0,0,6,2007,112500
1956,60,RL,70.0,11606,Pave,IR1,HLS,Inside,Sev,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,390.0,1040.0,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,Attchd,Unf,2.0,504.0,3,3,Y,335,0,0,0,9,2007,135000
